No.,ID de pantalla,,Orientacion,Pantallas,Nuc Optimo / Vulnerable,Nuc,Redundancia,Estado Redundancia,SD 300 Nova star,Estado SD 300 Nova star,UPS Cyberpower,Estado UPS Cyberpower,Internet Fibra optica,Camara,Estado Camara,POE,Estado POE,Interruptor termomagnetico 3x100 amp,Interruptor termomagnetico 2x20 amp,Fecha renovación tecnológica pantalla,Marca,Pitch,Numero de gabinetes,Medida de pantalla en m2
37,MX_CM_VV_COL_594,594,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,,LiteStar,P 10,16,14.74
38,MX_CM_VV_COL_594,594,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,LiteStar,P 10,16,14.74
39,MX_CM_VV_COL_606,606,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,,Unilumin,P10,16,14.74
40,MX_CM_VV_COL_606,606,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,"jueves, 30 de abril de 2026",Unilumin,P10,16,14.74
41,MX_CM_VV_COL_620,620,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,,Unilumin,P10,16,14.74
42,MX_CM_VV_COL_620,620,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,"jueves, 30 de abril de 2026",Unilumin,P10,16,14.74
43,MX_CM_VV_COL_628,628,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,,Unilumin,P10,16,14.74
44,MX_CM_VV_COL_628,628,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,"jueves, 30 de abril de 2026",Unilumin,P10,16,14.74
45,MX_CM_VV_COL_639,639,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,,Amicibro,P 6,16,14.74
46,MX_CM_VV_COL_639,639,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,"lunes, 4 de mayo de 2026",Amicibro,P 6,16,14.74
