No.,ID de pantalla,,Orientacion,Estado de la pantalla ,Fecha instalacion pantalla,Fecha renovación tecnológica pantalla,Pantallas,Nuc Optimo / Vulnerable,Marca,Nuc,Fecha de instalacion Nuc,Redundancia,Fecha de instalacion Teltonika,Estado Redundancia,SD 300 Nova star,Fecha de instalacion SD 300,Estado SD 300 Nova star,UPS Cyberpower,Fecha de instalacion UPS,Estado UPS Cyberpower,Internet Fibra optica,Camara,Fecha de instalacion Camara,Estado Camara,POE,Fecha de instalacion POE,Estado POE,Interruptor termomagnetico 3x100 amp,Interruptor termomagnetico 2x20 amp,Marca,Pitch,Numero de gabinetes,Medida de pantalla en m2
51,MX_CM_VV_COL_656,656,Norte,Optimo,"lunes, 2 de septiembre de 2019",,1,,,,02/09/2019,,,,,02/09/2019,,,,,,Hikvision DS-2CD2643G2,02/09/2019,Vulnerable,UTEPO,02/09/2019,Vulnerable,,,Amicibro,P 6,12,11.05
52,MX_CM_VV_COL_656,656,Sur,Optimo,"lunes, 2 de septiembre de 2019",,1,Vulnerable,Intel,Nuc,02/09/2019,Teltonika 955,27/08/2025,Optimo,SD 300,02/09/2019,Vulnerable,UPS,02/07/2022,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,02/09/2019,Vulnerable,UTEPO,02/09/2019,Vulnerable,1,8,Amicibro,P 6,12,11.05
53,MX_CM_VV_COL_661,661,Norte,Optimo,"sábado, 11 de enero de 2020","viernes, 10 de abril de 2026",1,,,,11/01/2020,,,,,11/01/2020,,,,,,Hikvision DS-2CD2643G2,11/01/2020,Vulnerable,UTEPO,11/01/2020,Vulnerable,,,Amicibro,P 6,16,14.74
54,MX_CM_VV_COL_661,661,Sur,Funcional,"sábado, 11 de enero de 2020",,1,Vulnerable,Histoy Industrial,Nuc,11/01/2020,Teltonika 955,28/08/2025,Optimo,SD 300,11/01/2020,Vulnerable,UPS,02/07/2022,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,11/01/2020,Vulnerable,UTEPO,11/01/2020,Vulnerable,1,8,Amicibro,P 6,16,14.74
55,MX_CM_VV_COL_665,665,Norte,Optimo,"domingo, 12 de enero de 2020",,1,,,,12/01/2020,,,,,12/01/2020,,,,,,Hikvision DS-2CD2643G2,12/01/2020,Vulnerable,UTEPO,12/01/2020,Vulnerable,,,Unilumin,P10,16,14.74
56,MX_CM_VV_COL_665,665,Sur,Optimo,"domingo, 12 de enero de 2020","lunes, 4 de mayo de 2026",1,Optimo,Asus,Nuc,12/01/2020,Teltonika 955,28/08/2025,Optimo,SD 300,12/01/2020,Vulnerable,UPS,03/07/2022,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,12/01/2020,Vulnerable,UTEPO,12/01/2020,Vulnerable,1,8,Unilumin,P10,16,14.74
57,MX_CM_VV_COL_669,669,Norte,Optimo,"lunes, 13 de enero de 2020","martes, 14 de abril de 2026",1,,,,13/01/2020,,,,,13/01/2020,,,,,,Hikvision DS-2CD2643G2,13/01/2020,Vulnerable,UTEPO,13/01/2020,Vulnerable,,,Unilumin,P10,16,14.74
58,MX_CM_VV_COL_669,669,Sur,Critico,"lunes, 13 de enero de 2020",,1,Vulnerable,Intel,Nuc,13/01/2020,Teltonika 955,29/08/2025,Optimo,SD 300,13/01/2020,Vulnerable,UPS,03/07/2022,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,13/01/2020,Vulnerable,UTEPO,13/01/2020,Vulnerable,1,8,Unilumin,P10,16,14.74
59,MX_CM_VV_COL_679,679,Norte,Funcional,"martes, 14 de enero de 2020",,1,,,,14/01/2020,,,,,14/01/2020,,,,,,Hikvision DS-2CD2643G2,14/01/2020,Vulnerable,UTEPO,14/01/2020,Vulnerable,,,Amicibro,P 6,12,11.05
60,MX_CM_VV_COL_679,679,Sur,Optimo,"martes, 14 de enero de 2020",,1,Vulnerable,Intel,Nuc,14/01/2020,Teltonika 955,29/08/2025,Optimo,SD 300,14/01/2020,Vulnerable,UPS,03/07/2022,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,14/01/2020,Vulnerable,UTEPO,14/01/2020,Vulnerable,1,8,Amicibro,P 6,12,11.05
